=====================================================================================
LISTA DE MEDICAMENTOS CONTROLADOS - ORDEM ALFABÉTICA (sem considerar acentos)
Fonte: RDC 999/2025 e IN 360/2025
=====================================================================================

Total de medicamentos: 610

150. Dapoxetina                                         | C1 - Outras Substâncias de Controle Especial
151. dapsona                                            | Antimicrobianos
152. daptomicina                                        | Antimicrobianos
153. Deidroclormetiltestosterona                        | C5 - Anabolizantes
154. delamanide                                         | Antimicrobianos
155. Delorazepam                                        | B1 - Psicotrópicos
156. Desflurano                                         | C1 - Outras Substâncias de Controle Especial
157. Desipramina                                        | C1 - Outras Substâncias de Controle Especial
158. Desvenlafaxina                                     | C1 - Outras Substâncias de Controle Especial
159. Deutetrabenazina                                   | C1 - Outras Substâncias de Controle Especial
160. Dexanfetamina                                      | A3 - Substâncias Psicotrópicas
161. Dexetimida                                         | C1 - Outras Substâncias de Controle Especial
162. Dexmedetomidina                                    | C1 - Outras Substâncias de Controle Especial
163. Dextromoramida                                     | A1 - Entorpecentes
164. Dextropropoxifeno                                  | A2 - Entorpecentes de Uso Especial
165. Diampromida                                        | A1 - Entorpecentes
166. Diazepam                                           | B1 - Psicotrópicos
167. Dibenzepina                                        | C1 - Outras Substâncias de Controle Especial
168. Diclazepam                                         | B1 - Psicotrópicos
169. dicloxacilina                                      | Antimicrobianos
170. Dietiltiambuteno                                   | A1 - Entorpecentes
171. difenilsulfona                                     | Antimicrobianos
172. Difenoxilato                                       | A1 - Entorpecentes
173. Difenoxina                                         | A1 - Entorpecentes
174. Diidrocodeína                                      | A2 - Entorpecentes de Uso Especial
175. diidroestreptomicina                               | Antimicrobianos
176. Diidromorfina                                      | A1 - Entorpecentes
177. Dimefeptanol (metadol)                             | A1 - Entorpecentes
178. Dimenoxadol                                        | A1 - Entorpecentes
179. Dimetiltiambuteno                                  | A1 - Entorpecentes
180. Dimetracrina                                       | C1 - Outras Substâncias de Controle Especial
181. Dioxafetila                                        | A1 - Entorpecentes
182. Dipipanona                                         | A1 - Entorpecentes
183. diritromicina                                      | Antimicrobianos
184. Disopiramida                                       | C1 - Outras Substâncias de Controle Especial
185. Dissulfiram                                        | C1 - Outras Substâncias de Controle Especial
186. Divalproato de sódio                               | C1 - Outras Substâncias de Controle Especial
187. Dixirazina                                         | C1 - Outras Substâncias de Controle Especial
188. Donepezila                                         | C1 - Outras Substâncias de Controle Especial
189. doripenem                                          | Antimicrobianos
190. Doxepina                                           | C1 - Outras Substâncias de Controle Especial
191. doxiciclina                                        | Antimicrobianos
